// grading train set 4

// two levels of recursion on the right branch, leaf on left branch from root

// feat1 = F
// |  feat2 = F
// |  |  feat3 = T: positive
// |  |  feat3 = F: negative
// |  feat2 = T: negative
// feat1 = T: negative

// num features
3

// features
feat1 - T F
feat2 - T F
feat3 - T F

// labels
positive
negative

// num examples
16

// examples

trainEx1 positive F F T
trainEx2 positive F F T
trainEx3 negative F F F

trainEx4 negative F T T
trainEx5 negative F T F
trainEx6 negative F T T
trainEx7 negative F T F

trainEx8 negative T T F
trainEx9 negative T F F
trainEx10 negative T T T
trainEx11 negative T F T
trainEx12 negative T T F
trainEx13 negative T F F
trainEx14 negative T F T
trainEx15 negative T F T
trainEx16 negative T F F

